


商品名称 ：铜                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,476521,-132582,期货公司  ,432824,-107,期货公司  ,436814,456,
非期货公司,1775,-562,非期货公司,7041,-80,非期货公司,3051,-643,
合约代码 ：cu1804                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
19,道通期货  ,414,-114,19,中国国际  ,443,7,19,国泰君安  ,740,-54,
20,浙商期货  ,401,253,20,中信期货  ,433,-6,20,云晨期货  ,727,0,
合计,,22605,-2419,合计,,32947,1856,合计,,33629,3379,
合约代码 ：cu1808                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,1119,-379,1,格林大华  ,11949,0,1,中信期货  ,5451,-143,
2,格林大华  ,510,510,2,中钢期货  ,1990,135,2,国贸期货  ,4086,3,
3,同信久恒  ,482,-434,3,广发期货  ,1295,74,3,一德期货  ,2585,0,
4,海通期货  ,317,-159,4,国泰君安  ,1054,4,4,中银国际  ,1379,0,
5,中信期货  ,303,-80,5,方正中期  ,932,189,5,中粮期货  ,1214,0,
6,中辉期货  ,279,-369,6,弘业期货  ,758,39,6,海通期货  ,1194,0,
7,银河期货  ,245,-251,7,金瑞期货  ,648,1,7,格林大华  ,600,510,
8,鲁证期货  ,222,-492,8,英大期货  ,478,0,8,通惠期货  ,571,0,
9,兴证期货  ,221,-237,9,鲁证期货  ,357,2,9,永安期货  ,569,108,
10,方正中期  ,209,-306,10,同信久恒  ,321,-249,10,银河期货  ,554,-4,
11,永安期货  ,171,-33,11,新湖期货  ,313,1,11,五矿经易  ,528,5,
12,铜冠金源  ,150,-260,12,迈科期货  ,309,0,12,南华期货  ,429,0,
13,国富期货  ,150,-130,13,永安期货  ,253,45,13,铜冠金源  ,416,74,
14,宝城期货  ,146,-16,14,建信期货  ,240,0,14,中金期货  ,410,0,
15,兴业期货  ,142,139,15,五矿经易  ,227,-6,15,信达期货  ,405,-40,
16,上海中期  ,140,-119,16,东兴期货  ,206,44,16,兴证期货  ,400,62,
17,中钢期货  ,137,-15,17,兴证期货  ,192,17,17,国投安信  ,371,-1,
18,西部期货  ,120,-67,18,国信期货  ,188,46,18,新湖期货  ,330,48,
19,申万期货  ,94,-63,19,安粮期货  ,178,0,19,同信久恒  ,298,-117,
20,弘业期货  ,92,-460,20,一德期货  ,167,5,20,广发期货  ,238,0,
合计,,5249,-3221,合计,,22055,347,合计,,22028,505,
合约代码 ：cu1809                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,340,-177,1,格林大华  ,11002,0,1,国贸期货  ,4475,-68,
2,同信久恒  ,239,-121,2,同信久恒  ,996,-138,2,宏源期货  ,2534,1,
3,浙商期货  ,201,69,3,中钢期货  ,954,10,3,中信期货  ,2080,-3,
4,中信期货  ,174,-7,4,方正中期  ,464,2,4,五矿经易  ,2005,-10,
5,中辉期货  ,162,-10,5,金瑞期货  ,424,0,5,中粮期货  ,1721,0,
6,弘业期货  ,149,20,6,广发期货  ,355,36,6,国泰君安  ,885,-1,
7,南华期货  ,112,-69,7,迈科期货  ,345,10,7,海通期货  ,539,-18,
8,申万期货  ,102,-58,8,招金期货  ,336,6,8,铜冠金源  ,523,-1,
9,兴证期货  ,91,-16,9,安粮期货  ,303,3,9,建信期货  ,428,0,
10,金瑞期货  ,89,64,10,徽商期货  ,268,19,10,永安期货  ,413,-1,
11,中财期货  ,89,89,11,国泰君安  ,224,2,11,浙商期货  ,335,199,
12,国富期货  ,78,-56,12,弘业期货  ,224,146,12,新湖期货  ,321,0,
13,华西期货  ,76,-18,13,南华期货  ,213,0,13,银河期货  ,253,0,
14,国贸期货  ,74,54,14,永安期货  ,207,0,14,格林大华  ,178,0,
15,西部期货  ,67,-132,15,五矿经易  ,203,4,15,光大期货  ,151,-2,
16,兴业期货  ,66,65,16,创元期货  ,160,2,16,广发期货  ,146,1,
17,广发期货  ,57,-152,17,东海期货  ,154,0,17,兴证期货  ,129,12,
18,山金期货  ,50,0,18,海通期货  ,149,4,18,中银国际  ,115,0,
19,迈科期货  ,46,-282,19,兴业期货  ,132,64,19,兴业期货  ,112,0,
20,国信期货  ,39,-58,20,国金期货  ,115,0,20,金瑞期货  ,108,-5,
合计,,2301,-795,合计,,17228,170,合计,,17451,104,
商品名称 ：铝                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,285172,-124100,期货公司  ,378172,1562,期货公司  ,380692,1512,
非期货公司,114,-6,非期货公司,3197,-18,非期货公司,677,32,
合约代码 ：al1804                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,2733,-1326,1,国贸期货  ,8878,-20,1,国投安信  ,5213,-365,
2,中信期货  ,2224,223,2,金瑞期货  ,3318,-46,2,鲁证期货  ,4292,-252,
3,鲁证期货  ,2209,-398,3,中粮期货  ,2935,250,3,中信期货  ,3770,45,
4,申万期货  ,1817,-979,4,广发期货  ,2864,-16,4,国贸期货  ,3628,-371,
5,海通期货  ,1652,-1462,5,国信期货  ,2370,-16,5,银河期货  ,3307,-11,
6,国投安信  ,1630,590,6,中信期货  ,1859,-193,6,海通期货  ,3095,18,
7,五矿经易  ,1112,391,7,国海良时  ,1594,347,7,五矿经易  ,2345,-1051,
8,首创期货  ,1062,739,8,英大期货  ,1593,-300,8,国信期货  ,2177,-6,
9,国泰君安  ,768,187,9,中银国际  ,1471,3,9,首创期货  ,1698,-466,
10,中银国际  ,766,-445,10,华泰期货  ,1438,-90,10,金瑞期货  ,1610,-200,
11,中辉期货  ,641,-455,11,银河期货  ,1180,-97,11,中粮期货  ,1580,-93,
12,金瑞期货  ,608,-67,12,招商期货  ,1073,-10,12,一德期货  ,1431,31,
13,铜冠金源  ,563,-707,13,一德期货  ,995,64,13,华信期货  ,1429,0,
14,永安期货  ,557,411,14,东海期货  ,849,-31,14,建信期货  ,963,-84,
15,上海中期  ,535,-335,15,鲁证期货  ,844,45,15,上海中期  ,954,-174,
16,光大期货  ,478,180,16,东吴期货  ,834,-34,16,国联期货  ,920,339,
17,中粮期货  ,437,-48,17,海通期货  ,746,50,17,铜冠金源  ,846,124,
18,国贸期货  ,407,-93,18,五矿经易  ,703,-11,18,华安期货  ,764,0,
19,倍特期货  ,385,385,19,新世纪    ,684,-1,19,大有期货  ,639,22,
20,国海良时  ,372,-84,20,格林大华  ,642,7,20,格林大华  ,637,-170,
合计,,20956,-3293,合计,,36870,-99,合计,,41298,-2664,
合约代码 ：al1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,35409,-11378,1,国信期货  ,11008,177,1,中信期货  ,16472,95,
2,兴证期货  ,11045,-2523,2,国贸期货  ,10558,-642,2,国投安信  ,8423,-188,
3,鲁证期货  ,9844,-2795,3,中信期货  ,6214,-147,3,中粮期货  ,8163,-33,
4,中信期货  ,7244,-1788,4,国泰君安  ,5903,-135,4,永安期货  ,7779,-131,
5,国投安信  ,6559,-1022,5,华泰期货  ,5494,-16,5,广发期货  ,6083,-68,
6,东证期货  ,5877,-3686,6,金瑞期货  ,5467,384,6,海通期货  ,5710,-310,
7,中融汇信  ,4653,-1084,7,英大期货  ,5011,-73,7,国贸期货  ,5591,-140,
8,中辉期货  ,4571,-2033,8,首创期货  ,4886,348,8,华泰期货  ,5281,-383,
9,华泰期货  ,4559,-1607,9,中粮期货  ,4241,44,9,金瑞期货  ,4685,154,
10,申万期货  ,4435,-844,10,银河期货  ,3910,-51,10,上海中期  ,4206,43,
11,国泰君安  ,3608,-1406,11,建信期货  ,3663,-61,11,五矿经易  ,4122,860,
12,中银国际  ,3567,-2037,12,五矿经易  ,3499,-257,12,九州期货  ,4042,-1,
13,国信期货  ,3157,-2103,13,鲁证期货  ,3123,230,13,兴证期货  ,3622,1401,
14,光大期货  ,3033,-955,14,迈科期货  ,2973,131,14,方正中期  ,3406,58,
15,同信久恒  ,2731,-1049,15,广发期货  ,2954,63,15,银河期货  ,3186,-859,
16,金瑞期货  ,2688,1105,16,永安期货  ,2801,693,16,申万期货  ,3154,-167,
17,华鑫期货  ,2537,-2004,17,南华期货  ,2727,-149,17,国泰君安  ,2468,293,
18,永安期货  ,2248,13,18,光大期货  ,2726,99,18,东航期货  ,2235,24,
19,西南期货  ,2226,-1159,19,方正中期  ,2657,-528,19,中国国际  ,2233,-69,
20,铜冠金源  ,2164,-1045,20,一德期货  ,2446,-26,20,一德期货  ,2200,9,
合计,,122155,-39400,合计,,92261,84,合计,,103061,588,
合约代码 ：al1806                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,9708,-4550,1,国信期货  ,14163,7,1,中信期货  ,15594,503,
2,鲁证期货  ,4599,-1346,2,中信期货  ,6120,578,2,华信期货  ,12242,143,
3,中辉期货  ,4176,-1842,3,国贸期货  ,5773,169,3,国贸期货  ,6765,-32,
4,中信期货  ,3565,-1594,4,建信期货  ,5092,2,4,中粮期货  ,5416,660,
5,东证期货  ,2996,-2169,5,英大期货  ,4641,5,5,金瑞期货  ,4888,418,
6,申万期货  ,2906,-326,6,中粮期货  ,4027,206,6,国投安信  ,4489,-30,
7,中银国际  ,2354,-1644,7,华泰期货  ,3843,1097,7,永安期货  ,3968,-54,
8,国投安信  ,2274,-1056,8,鲁证期货  ,3251,148,8,兴证期货  ,3951,-177,
9,中粮期货  ,1804,1270,9,广发期货  ,3154,-17,9,广发期货  ,3805,73,
10,华泰期货  ,1651,649,10,迈科期货  ,2990,-98,10,上海中期  ,3176,-10,
11,金瑞期货  ,1436,707,11,金瑞期货  ,2967,138,11,中国国际  ,3106,126,
12,同信久恒  ,1303,-833,12,国泰君安  ,2739,173,12,五矿经易  ,2249,-23,
13,中融汇信  ,1286,-308,13,方正中期  ,2396,73,13,华泰期货  ,2218,48,
14,华鑫期货  ,1103,-671,14,招商期货  ,2130,95,14,中金期货  ,2071,-8,
15,一德期货  ,1028,326,15,五矿经易  ,2118,-107,15,格林大华  ,2005,2,
16,上海中期  ,1023,-2058,16,先融期货  ,2106,2,16,一德期货  ,1999,84,
17,南华期货  ,926,132,17,中信建投  ,1828,58,17,东航期货  ,1932,15,
18,招商期货  ,917,-2297,18,上海中期  ,1778,63,18,中辉期货  ,1829,-35,
19,宝城期货  ,908,318,19,兴证期货  ,1616,-4,19,申万期货  ,1735,308,
20,信达期货  ,781,43,20,新湖期货  ,1572,77,20,国泰君安  ,1687,74,
合计,,46744,-17249,合计,,74304,2665,合计,,85125,2085,
合约代码 ：al1807                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,2797,-536,1,国信期货  ,10034,426,1,中信期货  ,6000,215,
2,鲁证期货  ,1708,-1056,2,中信期货  ,3219,165,2,华信期货  ,5838,0,
3,中辉期货  ,1145,-794,3,先融期货  ,2991,0,3,广发期货  ,3558,-2,
4,中信期货  ,1144,-1524,4,五矿经易  ,2681,-2,4,华泰期货  ,3383,309,
5,国投安信  ,1127,-672,5,南华期货  ,1721,70,5,国贸期货  ,2617,-190,
6,东证期货  ,973,-1929,6,中粮期货  ,1226,60,6,上海中期  ,2514,25,
7,迈科期货  ,800,301,7,永安期货  ,1198,13,7,国投安信  ,2185,-132,
8,申万期货  ,648,-207,8,广发期货  ,1058,10,8,中粮期货  ,1667,0,
9,同信久恒  ,563,-365,9,晟鑫期货  ,1000,0,9,海通期货  ,1337,797,
10,国信期货  ,542,-41,10,东证期货  ,999,-34,10,光大期货  ,1287,33,
11,华泰期货  ,463,-265,11,建信期货  ,966,29,11,东亚期货  ,1260,-33,
12,中银国际  ,457,-163,12,金瑞期货  ,875,225,12,一德期货  ,1194,-9,
13,华鑫期货  ,324,-464,13,海通期货  ,844,-20,13,格林大华  ,1164,0,
14,兴证期货  ,298,-130,14,国投安信  ,762,-21,14,中金期货  ,1141,228,
15,中金期货  ,268,41,15,国贸期货  ,630,-30,15,中银国际  ,1013,2,
16,中融汇信  ,254,-166,16,方正中期  ,625,8,16,方正中期  ,1004,-2,
17,金瑞期货  ,249,177,17,英大期货  ,625,1,17,兴证期货  ,885,24,
18,国贸期货  ,240,156,18,迈科期货  ,558,116,18,五矿经易  ,655,1,
19,宏源期货  ,228,83,19,鲁证期货  ,521,-51,19,鲁证期货  ,607,13,
20,瑞龙期货  ,167,46,20,银河期货  ,445,-3,20,国富期货  ,405,5,
合计,,14395,-7508,合计,,32978,962,合计,,39714,1284,
商品名称 ：锌                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,707663,-48952,期货公司  ,227745,8206,期货公司  ,235365,8315,
非期货公司,7013,4824,非期货公司,14716,-46,非期货公司,7096,-155,
合约代码 ：zn1804                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,3143,-96,1,五矿经易  ,2492,270,1,中粮期货  ,2313,-203,
2,东证期货  ,2559,-416,2,上海中期  ,2364,-476,2,迈科期货  ,1753,-85,
3,鲁证期货  ,1466,110,3,金瑞期货  ,2321,-80,3,一德期货  ,1273,-40,
4,中信期货  ,1155,-484,4,中粮期货  ,1541,0,4,格林大华  ,1023,0,
5,铜冠金源  ,1025,-387,5,迈科期货  ,1160,-5,5,东证期货  ,872,-11,
6,上海中期  ,908,-84,6,中信期货  ,1158,-290,6,首创期货  ,795,-93,
7,方正中期  ,664,56,7,格林大华  ,907,0,7,五矿经易  ,688,-74,
8,国投安信  ,541,-366,8,东证期货  ,646,-8,8,建信期货  ,679,418,
9,建信期货  ,535,291,9,海通期货  ,557,-202,9,国泰君安  ,615,-3,
10,中辉期货  ,415,-60,10,国贸期货  ,487,0,10,中大期货  ,522,-87,
11,中银国际  ,403,-210,11,东亚期货  ,420,0,11,中信期货  ,449,317,
12,中融汇信  ,386,-77,12,兴业期货  ,417,-2,12,华泰期货  ,434,-144,
13,广发期货  ,385,242,13,东航期货  ,404,0,13,福能期货  ,405,0,
14,五矿经易  ,376,-414,14,宏源期货  ,319,297,14,兴业期货  ,394,-6,
15,华泰期货  ,357,-619,15,首创期货  ,240,-2,15,新湖期货  ,368,-47,
16,宏源期货  ,310,182,16,银河期货  ,202,6,16,海通期货  ,358,287,
17,永安期货  ,291,-133,17,广发期货  ,187,-21,17,广发期货  ,328,-332,
18,西部期货  ,247,-6,18,铜冠金源  ,185,174,18,金汇期货  ,259,0,
19,大有期货  ,211,-2,19,中钢期货  ,180,0,19,兴证期货  ,212,-28,
20,国富期货  ,206,-168,20,方正中期  ,172,-250,20,广州期货  ,203,0,
合计,,15583,-2641,合计,,16359,-589,合计,,13943,-131,
合约代码 ：zn1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,94358,-6699,1,上海中期  ,6871,507,1,中信期货  ,5925,-50,
2,中信期货  ,30998,-4982,2,华泰期货  ,6414,382,2,五矿经易  ,5480,466,
3,鲁证期货  ,23345,1079,3,海通期货  ,6245,-310,3,中粮期货  ,4658,-413,
4,国投安信  ,21376,-4122,4,中信期货  ,6090,-164,4,永安期货  ,4604,505,
5,东证期货  ,19672,-1255,5,中粮期货  ,4957,-1218,5,华泰期货  ,4573,593,
6,铜冠金源  ,12961,-890,6,五矿经易  ,4205,-282,6,海通期货  ,3448,200,
7,中融汇信  ,12106,-3746,7,兴业期货  ,3818,138,7,东证期货  ,3210,-107,
8,中银国际  ,10565,-1056,8,大地期货  ,3765,280,8,大有期货  ,2735,-269,
9,兴证期货  ,10507,-2574,9,方正中期  ,2909,167,9,银河期货  ,2713,-35,
10,华泰期货  ,10367,-1387,10,永安期货  ,2619,26,10,宏源期货  ,2623,330,
11,方正中期  ,9997,-2685,11,通惠期货  ,2413,-2,11,方正中期  ,2572,100,
12,徽商期货  ,9492,-975,12,弘业期货  ,2303,67,12,铜冠金源  ,2494,252,
13,上海中期  ,9477,-2456,13,建信期货  ,2255,669,13,兴证期货  ,2322,-973,
14,国泰君安  ,9212,-1810,14,鲁证期货  ,2105,772,14,中钢期货  ,1994,-410,
15,同信久恒  ,8622,-2855,15,广发期货  ,1974,-83,15,一德期货  ,1848,-119,
16,华鑫期货  ,7819,-2203,16,一德期货  ,1864,87,16,华安期货  ,1807,27,
17,申万期货  ,7290,-146,17,新湖期货  ,1848,-121,17,华鑫期货  ,1709,-104,
18,中国国际  ,7175,1461,18,金瑞期货  ,1671,136,18,浙商期货  ,1580,226,
19,华安期货  ,7129,-1259,19,中银国际  ,1667,47,19,东航期货  ,1526,-16,
20,南华期货  ,6664,-1884,20,广州期货  ,1605,-73,20,广发期货  ,1435,16,
合计,,329132,-40444,合计,,67598,1025,合计,,59256,219,
合约代码 ：zn1806                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,32783,3796,1,中信期货  ,9958,137,1,中粮期货  ,4988,177,
2,中信期货  ,13500,-748,2,首创期货  ,4452,23,2,中信期货  ,4911,5,
3,鲁证期货  ,11101,2123,3,五矿经易  ,4047,309,3,鲁证期货  ,3882,2344,
4,东证期货  ,10121,2613,4,广发期货  ,3818,-133,4,宏源期货  ,3483,-5,
5,国投安信  ,6240,-117,5,永安期货  ,2948,589,5,银河期货  ,3390,-219,
6,铜冠金源  ,5470,-680,6,中粮期货  ,2532,982,6,永安期货  ,3160,214,
7,五矿经易  ,4645,2845,7,华泰期货  ,2433,1924,7,华泰期货  ,2884,364,
8,上海中期  ,4280,-1350,8,格林大华  ,2150,103,8,上海中期  ,2793,-11,
9,招商期货  ,4268,3748,9,一德期货  ,2055,15,9,中航期货  ,2492,208,
10,兴证期货  ,3751,1496,10,通惠期货  ,1781,170,10,海通期货  ,2453,92,
11,华泰期货  ,3716,2073,11,金瑞期货  ,1775,33,11,方正中期  ,2181,1055,
12,中融汇信  ,3117,1295,12,海通期货  ,1685,639,12,兴证期货  ,1975,1591,
13,中银国际  ,3057,221,13,中钢期货  ,1668,-25,13,五矿经易  ,1838,34,
14,华鑫期货  ,2708,254,14,迈科期货  ,1601,19,14,倍特期货  ,1552,39,
